Index,Date,ID ,State,TotalCases,New Cases,TotalDeaths,NewDeaths,Active Cases,Lat,Lng
0,24-Mar,0,New York,26348,"5,473",271,114,25969,40.663468,-73.938697
1,24-Mar,1,New Jersey,3675,831,44,17,3631,40.72422,-74.172574
2,24-Mar,2,California,2566,433,51,11,2507,34.019394,-118.410825
3,24-Mar,3,Washington,2469,248,123,13,2222,47.619349,-122.351471
4,24-Mar,4,Michigan,1791,463,24,9,1767,42.383037,-83.102237
5,24-Mar,5,Illinois,1535,250,16,4,1517,41.837551,-87.681844
6,24-Mar,6,Florida,1467,240,20,2,1447,30.336864,-81.661603
7,24-Mar,7,Louisiana,1388,216,46,11,1342,30.05342,-89.934502
8,24-Mar,8,Massachusetts,1159,382,11,2,1147,42.338551,-71.018253
9,24-Mar,9,Georgia,1097,294,38,12,1059,33.762909,-84.422675
10,24-Mar,10,Texas,1023,217,12,3,1000,29.786642,-95.390899
11,24-Mar,11,Colorado,912,192,11,4,901,39.76185,-104.881105
12,24-Mar,12,Pennsylvania,851,207,7,1,844,40.009376,-75.133346
13,24-Mar,13,Tennessee,773,158,2,,771,36.1718,-86.785002
14,24-Mar,14,Connecticut,618,203,12,2,606,41.187393,-73.195757
15,24-Mar,15,Ohio,564,122,8,2,556,39.984371,-82.984787
16,24-Mar,16,North Carolina,498,88,,,498,35.208707,-80.830739
17,24-Mar,17,Wisconsin,457,41,5,,451,43.063348,-87.966695
18,24-Mar,18,Indiana,365,106,12,5,353,39.776664,-86.145935
19,24-Mar,19,Maryland,349,61,4,1,341,39.300032,-76.610476
20,24-Mar,20,South Carolina,342,43,5,,337,32.81793,-79.95896
21,24-Mar,21,Arizona,326,92,5,3,318,33.572154,-112.090132
22,24-Mar,22,Mississippi,320,71,1,,319,32.315831,-90.212823
23,24-Mar,23,Utah,298,41,1,,297,40.776928,-111.930991
24,24-Mar,24,Virginia,290,36,7,,281,36.779985,-76.025209
25,24-Mar,25,Nevada,278,33,4,,274,36.227551,-115.263782
26,24-Mar,26,Missouri,270,74,8,3,260,39.125129,-94.551028
27,24-Mar,27,Minnesota,262,27,1,,173,44.963324,-93.26832
28,24-Mar,28,Alabama,242,46,,,242,33.527444,-86.799047
29,24-Mar,29,Arkansas,232,35,2,2,220,34.725432,-92.358556
30,24-Mar,30,Oregon,209,18,5,,204,45.536951,-122.649971
31,24-Mar,31,District Of Columbia,183,46,2,,181,38.904103,-77.017229
32,24-Mar,32,Kentucky,157,33,4,,151,38.165376,-85.647377
33,24-Mar,33,Iowa,124,19,,,124,41.57259,-93.610243
34,24-Mar,34,Rhode Island,124,18,,,124,41.823056,-71.418784
35,24-Mar,35,Maine,118,11,,-93.581543,115,45.367584,-68.972168
36,24-Mar,36,New Hampshire,108,7,1,,107,44,-71.5
37,24-Mar,37,Oklahoma,106,25,3,1,102,35.467079,-97.513657
38,24-Mar,38,Delaware,104,36,,,104,39,-75.5
39,24-Mar,39,New Mexico,100,17,,,100,35.10478,-106.646809
40,24-Mar,40,Kansas,98,16,2,,96,37.690638,-97.345836
41,24-Mar,41,Vermont,95,20,7,2,88,44,-72.699997
42,24-Mar,43,Idaho,81,34,,,81,43.600229,-116.231656
43,24-Mar,44,Nebraska,61,11,,,61,41.261748,-96.047142
44,24-Mar,45,Montana,46,1,,,46,46.96526,-109.533691
45,24-Mar,47,North Dakota,34,2,,,34,47.650589,-100.437012
46,24-Mar,48,South Dakota,30,2,1,,21,43.539466,-96.732035
47,24-Mar,49,Wyoming,30,4,,,30,43.07597,-107.290283
48,24-Mar,50,West Virginia,20,4,,,20,39,-80.5
