Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
23-Mar,0,New York,20875,"5,085",157,43,20610,43,-75
23-Mar,1,New Jersey,2844,930,27,7,2817,35.860119,-74.871826
23-Mar,2,Washington,2221,225,110,15,1987,36.084621,-120.740135
23-Mar,3,California,2133,378,40,6,2087,39.045753,-119.417931
23-Mar,4,Michigan,1328,293,15,6,1313,44.182205,-84.506836
23-Mar,5,Illinois,1285,236,12,3,1271,40,-89
23-Mar,6,Florida,1227,220,18,5,1209,27.994402,-81.760254
23-Mar,7,Louisiana,1172,335,35,15,1137,43.07597,-92.329102
23-Mar,8,Texas,806,208,9,3,786,31,-100
23-Mar,9,Georgia,800,200,26,3,774,33.247875,-83.441162
23-Mar,10,Massachusetts,777,131,9,4,767,34.048927,-71.382439
23-Mar,11,Colorado,720,129,7,1,713,47.751076,-105.358887
23-Mar,12,Pennsylvania,644,165,6,3,638,34.307144,-77.194527
23-Mar,13,Tennessee,615,110,2,,613,19.741755,-86.660156
23-Mar,14,Ohio,442,91,6,3,436,39.41922,-82.996216
23-Mar,15,Wisconsin,416,35,5,1,410,44.5,-89.5
23-Mar,16,Connecticut,415,192,10,5,405,41.599998,-72.699997
23-Mar,17,North Carolina,410,139,,,410,44.068203,-80.793457
23-Mar,18,South Carolina,299,104,5,2,294,42.032974,-81.163727
23-Mar,19,Maryland,288,44,3,,281,41.203323,-76.641273
23-Mar,20,Indiana,259,58,7,1,252,40.273502,-86.126976
23-Mar,21,Utah,257,76,1,,256,46.96526,-111.950684
23-Mar,22,Virginia,254,35,7,4,246,66.160507,-78.024902
23-Mar,23,Mississippi,249,42,1,,248,33,-90
23-Mar,24,Nevada,245,55,4,2,241,39.876019,-117.224121
23-Mar,25,Minnesota,235,66,1,,210,37.839333,-94.63623
23-Mar,26,Arizona,234,82,2,,231,33.836082,-111.093735
23-Mar,27,Arkansas,197,32,,,197,34.799999,-92.199997
23-Mar,28,Alabama,196,39,,,196,39.113014,-86.902298
23-Mar,29,Oregon,191,30,5,1,186,44,-120.5
23-Mar,30,Missouri,183,93,4,1,179,38.573936,-92.60376
23-Mar,31,District of Columbia,137,39,2,,135,35.782169,-77.0369
23-Mar,32,Kentucky,124,21,4,1,118,37.926868,-84.27002
23-Mar,33,Maine,107,18,,,104,45.367584,-68.972168
23-Mar,34,Rhode Island,106,23,,,106,41.700001,-71.5
23-Mar,35,Iowa,105,15,,,105,40.367474,-93.581543
23-Mar,36,New Hampshire,101,23,1,1,100,44,-71.5
23-Mar,37,New Mexico,83,18,,,83,32.31823,-106.018066
23-Mar,38,Kansas,82,18,2,,80,38.5,-98
23-Mar,39,Oklahoma,81,14,2,,78,47.650589,-96.921387
23-Mar,41,Vermont,75,23,5,3,70,44,-72.699997
23-Mar,42,Delaware,68,12,,,68,39,-75.5
23-Mar,43,Nebraska,50,8,,,50,41.5,-100
23-Mar,44,Idaho,47,5,,,47,42.407211,-114.742043
23-Mar,45,Montana,45,11,,,45,46.39241,-109.533691
23-Mar,47,North Dakota,32,2,,,32,39.833851,-100.437012
23-Mar,48,South Dakota,28,7,1,,21,44.5,-100
23-Mar,49,Wyoming,26,2,,,26,36.778259,-107.290283
23-Mar,50,West Virginia,16,4,,,16,39,-80.5
